2025-07-01 11:29:04,381 - Rank 1 - daniel - Generando terreno: 15x80 celdas
2025-07-01 11:29:04,398 - Rank 1 - daniel - Terreno generado exitosamente
2025-07-01 11:29:04,399 - Rank 1 - daniel - Inicializados 3 focos de incendio
2025-07-01 11:29:04,527 - Rank 1 - daniel - Paso 0: 5 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:07,783 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:10,722 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:13,718 - Rank 1 - daniel - Paso 0: 6 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:16,617 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:19,444 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:22,281 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:29:25,262 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:28,214 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:31,165 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:29:33,917 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:29:37,543 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:29:41,504 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:45,453 - Rank 1 - daniel - Paso 0: 5 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:48,727 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:29:54,196 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:00,741 - Rank 1 - daniel - Paso 0: 0 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:07,785 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:13,933 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:20,385 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:30:27,114 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:33,975 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 4 extinguidos
2025-07-01 11:30:40,508 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:30:46,900 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:53,174 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:30:59,403 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:31:05,760 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:11,815 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 5 extinguidos
2025-07-01 11:31:17,731 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:23,786 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:31:29,851 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:31:35,956 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:31:42,110 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:31:48,435 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:31:54,773 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 2 extinguidos
2025-07-01 11:32:00,858 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 6 extinguidos
2025-07-01 11:32:07,245 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:32:13,537 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 3 extinguidos
2025-07-01 11:32:19,777 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:26,021 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:32,170 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 0 extinguidos
2025-07-01 11:32:39,368 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:32:46,153 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 5 extinguidos
2025-07-01 11:32:52,968 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 1 extinguidos
2025-07-01 11:32:59,828 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 1 extinguidos
2025-07-01 11:33:06,209 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:13,006 - Rank 1 - daniel - Paso 0: 5 nuevos fuegos, 4 extinguidos
2025-07-01 11:33:19,331 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 3 extinguidos
2025-07-01 11:33:26,797 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 3 extinguidos
2025-07-01 11:33:29,921 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:33,184 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:36,319 - Rank 1 - daniel - Paso 0: 2 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:39,659 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:33:42,949 - Rank 1 - daniel - Paso 0: 4 nuevos fuegos, 2 extinguidos
2025-07-01 11:33:46,225 - Rank 1 - daniel - Paso 0: 3 nuevos fuegos, 4 extinguidos
2025-07-01 11:33:49,269 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 7 extinguidos
2025-07-01 11:33:52,235 - Rank 1 - daniel - Paso 0: 1 nuevos fuegos, 3 extinguidos
